month,Actual,Predict
1,5783862.8599999985,5959503.811834175
2,5835309.449900001,6145416.414408032
3,12748449.72,11827305.500607455
4,19971885.489,22007808.29153284
5,4951038.415,5696682.059509103
6,5818523.520000001,5677396.50809281
7,5908646.59,5666716.45380342
8,5829900.75,5720402.216155081
9,6120438.5599,6056815.835687617
10,4988848.899800002,5936381.088594911
11,6617072.659999998,6361017.53194377
12,5363547.930000002,6042370.556280285
13,7445184.209999999,6658473.925164332
14,6860140.020000001,6454734.20600017
15,7135496.153899998,6037106.669323256
16,7406587.140899999,6241534.762363129
17,7146939.720000002,6279642.704722566
